x1,x2,x3,x4,x5,x6,x7,x8
0.14,4.43,0.14,0,0,-0.37,-0.23,0.01
4.43,1701.56,33.61,0.96,-1.25,-58.33,-18.02,-1.61
0.14,33.61,3.76,0.07,-0.08,-3.45,-0.79,-0.05
0,0.96,0.07,0.1,-0.01,-0.03,0,0
0,-1.25,-0.08,-0.01,0.1,0.07,0.01,0
-0.37,-58.33,-3.45,-0.03,0.07,16.32,2.1,0.1
-0.23,-18.02,-0.79,0,0.01,2.1,7.45,0.34
0.01,-1.61,-0.05,0,0,0.1,0.34,0.09
